,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_lmt,attack_cat,Label,sIPtype,dIPtype
1673354,udp,CON,0.001029,146,178,31,29,0,0,dns,567541.3,691933.9,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.005,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,1,3,4,1,1,5,normal,0,ext,ext
889063,udp,CON,0.001074,146,178,31,29,0,0,dns,543761.6,662942.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.01,0.009,0.0,0.0,0.0,0,0,0.0,0,0,5,3,7,3,1,1,1,normal,0,ext,ext
1283085,udp,REQ,10.809476,13650,0,60,0,0,0,-,1819.4562,0.0,210,0,0,0,0,0,65,0,0,0,343.4106,0.0,206.36581,0.0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,1,1,1,1,1,normal,0,ext,ext
393942,udp,CON,0.000995,146,178,31,29,0,0,dns,586934.7,715577.9,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0,0,2,2,3,1,1,1,1,normal,0,ext,ext
1869182,tcp,FIN,0.787471,864,1304,62,252,2,2,http,7903.783,11591.538,10,8,255,255,1981532272,1599335987,86,163,1,231,5236.579,142.39705,87.49678,100.95971,0.113998,0.079917,0.034081,0,1,1.0,0,0,3,2,1,2,2,1,2,normal,0,ext,ext
480890,tcp,FIN,0.005732,1064,2260,31,29,4,4,-,1362177.2,2891835.2,12,12,255,255,4226571964,2077296861,89,188,0,0,24.474377,0.554758,0.487455,0.411182,0.001367,0.001206,0.000161,0,0,0.0,0,0,11,5,2,3,2,1,1,normal,0,ext,ext
365286,tcp,FIN,0.013961,2766,25812,31,29,7,16,-,1549459.1,14469450.0,44,46,255,255,4088355842,4088659258,63,561,0,0,19.596828,18.458376,0.324071,0.297111,0.000734,0.000581,0.000153,0,0,0.0,0,0,6,6,5,5,1,1,1,normal,0,ext,ext
1451801,tcp,FIN,0.069916,3718,45396,31,29,7,24,-,418673.8,5110589.5,62,62,255,255,2253754676,2254031865,60,732,0,0,75.45712,2.082986,1.18,1.137443,0.000622,0.000523,9.9e-05,0,0,0.0,0,0,5,2,3,6,1,1,1,normal,0,ext,ext
1468584,udp,CON,0.001044,146,178,31,29,0,0,dns,559386.94,681992.3,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,0,2,2,3,2,2,1,1,normal,0,ext,ext
1136157,tcp,FIN,0.400596,4968,3080,31,29,7,7,-,95677.445,59471.39,28,30,255,255,3020187163,892108084,177,103,0,0,837.21405,21.388014,14.825482,13.795311,0.000654,0.000529,0.000125,0,0,0.0,0,0,9,4,4,3,1,1,3,normal,0,ext,ext
1237135,tcp,FIN,0.032409,7818,15828,31,29,30,32,-,1914036.1,3876207.0,122,126,255,255,1803571566,3954171675,64,126,0,0,16.72076,14.485973,0.269017,0.254888,0.000686,0.000544,0.000142,0,0,0.0,0,0,3,6,5,5,1,1,4,normal,0,ext,ext
197431,tcp,FIN,0.421915,4776,3080,31,29,7,7,-,87335.125,56466.35,28,30,255,255,2132738952,4285413915,171,103,0,0,863.19104,21.766218,15.614111,14.500345,0.001527,0.001402,0.000125,0,0,0.0,0,0,4,5,6,3,1,1,3,normal,0,ext,ext
1916943,tcp,FIN,0.695786,12472,12820,31,29,17,17,ssh,141353.81,145033.1,70,62,255,255,3308894181,1159620246,178,207,0,0,646.5205,687.9973,10.083855,11.394475,0.000743,0.0006,0.000143,0,0,0.0,0,0,1,1,4,1,1,1,1,normal,0,ext,ext
1587436,tcp,FIN,0.014873,2766,28048,31,29,7,16,-,1454447.6,14759094.0,44,46,255,255,3689895726,3690198286,63,610,0,0,19.744432,18.167963,0.355171,0.3168,0.00075,0.000608,0.000142,0,0,0.0,0,0,7,3,2,3,1,1,1,normal,0,ext,ext
984622,tcp,FIN,7.357703,18162,1087890,31,29,2,370,http,19689.84,1181273.0,340,746,255,255,857791415,3103753588,53,1458,0,0,1613.1545,1053.1462,21.70312,9.875256,0.000785,0.000632,0.000153,0,0,0.0,0,0,2,1,3,5,2,1,1,normal,0,ext,ext
758820,tcp,FIN,0.025964,3302,35114,31,29,7,21,-,998613.5,10626098.0,54,56,255,255,1475240653,3620913586,61,627,0,0,30.128014,30.597313,0.483811,0.461345,0.000699,0.000583,0.000116,0,0,0.0,0,0,6,12,5,3,1,1,2,normal,0,ext,ext
1737476,tcp,FIN,0.058856,5174,86068,31,29,7,39,-,695528.06,11571701.0,90,92,255,255,1439255524,3589109466,57,936,0,0,40.6428,39.99943,0.657798,0.640989,0.000629,0.000518,0.000111,0,0,0.0,0,0,10,8,1,2,1,1,4,normal,0,ext,ext
390936,udp,CON,0.305159,568,312,31,29,0,0,-,11167.948,6134.507,4,4,0,0,0,0,142,78,0,0,63.623108,122.95338,44.998333,86.94966,0.0,0.0,0.0,0,0,0.0,0,0,6,7,3,3,1,1,1,normal,0,ext,ext
1853804,tcp,FIN,0.114837,14408,17134,31,29,22,32,ssh,993477.75,1181709.8,98,100,255,255,850121177,2995815100,147,171,0,0,151.88492,153.1121,1.208811,1.188854,0.000709,0.000584,0.000125,0,0,0.0,0,0,1,1,2,2,1,1,2,normal,0,ext,ext
204802,tcp,FIN,0.03247,7814,15296,31,29,30,32,-,1909455.0,3738836.0,122,126,255,255,724116517,725234850,64,121,0,0,16.589983,14.728276,0.26543,0.2552,0.000744,0.000566,0.000178,0,0,0.0,0,0,10,18,2,2,1,1,1,normal,0,ext,ext
765741,udp,CON,0.001103,146,178,31,29,0,0,dns,529465.06,645512.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0,0,2,2,4,2,1,1,1,normal,0,ext,ext
316908,tcp,FIN,0.164151,2048,2410,31,29,6,7,-,95668.016,112969.16,24,26,255,255,265857789,2415727171,85,93,0,0,0.0,446.16873,7.087956,6.54064,0.000794,0.000631,0.000163,0,0,0.0,0,0,1,4,1,2,1,1,1,normal,0,ext,ext
277122,tcp,FIN,0.043942,2646,24004,31,29,7,15,-,470256.25,4270902.5,42,44,255,255,3711709584,1580491106,63,546,0,0,86.10481,83.0913,1.063244,1.008907,0.000701,0.000555,0.000146,0,0,0.0,0,0,2,5,5,1,1,1,1,normal,0,ext,ext
1730394,tcp,FIN,0.031795,2934,3740,31,29,11,15,ftp,724139.06,923667.25,52,54,255,255,2105441457,4256075488,56,69,0,0,47.617397,1.253781,0.6119,0.589038,0.000706,0.000572,0.000134,0,0,0.0,1,1,1,1,9,10,1,1,6,normal,0,ext,ext
1606650,other,INT,9e-06,200,0,254,0,0,0,-,88888890.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,0,6,6,5,5,4,4,8,Generic,1,ext,ext
29763,tcp,CON,0.145418,172,86,254,60,1,1,-,7096.7827,2365.5942,4,2,255,255,425646368,1142762688,43,43,0,0,2654.3323,0.0,48.472668,0.01,0.145398,0.077446,0.067952,0,3,0.0,0,0,15,14,4,5,4,1,4,normal,0,ext,ext
178202,udp,CON,0.035201,528,304,31,29,0,0,-,89997.445,51816.71,4,4,0,0,0,0,132,76,0,0,9.420076,10.86776,6.672,7.695667,0.0,0.0,0.0,0,0,0.0,0,0,7,16,7,2,1,1,2,normal,0,ext,ext
856604,tcp,FIN,0.021825,2974,34222,31,29,7,18,-,1067766.2,12293425.0,48,50,255,255,586727145,596062805,62,684,0,0,0.0,25.427988,0.457574,0.444375,0.000626,0.000492,0.000134,0,0,0.0,0,0,16,8,5,2,1,1,2,normal,0,ext,ext
126880,udp,CON,0.001032,130,162,31,29,0,0,-,503876.0,627907.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.011,0.006,0.0,0.0,0.0,0,0,0.0,0,0,7,8,2,2,1,1,1,normal,0,ext,ext
1270011,tcp,FIN,0.046363,320,1934,31,29,1,2,ftp-data,46071.223,292129.5,6,8,255,255,1414492299,1428303647,53,242,0,0,641.2933,15.726924,9.2098,6.547143,0.000666,0.00053,0.000136,0,0,0.0,0,0,1,1,3,2,1,1,2,normal,0,ext,ext
1031550,tcp,FIN,1.200053,1684,10168,31,29,3,5,http,10426.206,64023.84,14,18,255,255,2692694046,2689534026,120,565,1,3924,8851.17,7750.5317,92.270996,70.559296,0.000664,0.000541,0.000123,0,0,1.0,0,0,1,3,1,5,1,1,2,normal,0,ext,ext
807571,tcp,FIN,0.013447,1540,1644,31,29,4,4,-,859076.4,923923.56,16,18,255,255,2716562932,573148219,96,91,0,0,60.412514,1.397711,0.875667,0.762824,0.000609,0.000475,0.000134,0,0,0.0,0,0,6,11,7,8,6,1,6,normal,0,ext,ext
897541,tcp,FIN,1.086902,1684,10168,31,29,3,5,http,11511.617,70688.984,14,18,255,255,1387876989,1388903852,120,565,1,3924,8792.341,7698.832,83.58077,63.90694,0.000601,0.00048,0.000121,0,0,1.0,0,0,2,1,3,6,1,1,3,normal,0,ext,ext
74491,udp,CON,0.000923,130,162,31,29,0,0,dns,563380.3,702058.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0,0,0.0,0,0,5,4,5,1,1,1,1,normal,0,ext,ext
1808385,udp,CON,0.001071,146,178,31,29,0,0,dns,545284.75,664799.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,0,3,1,4,5,3,1,1,normal,0,ext,ext
18667,tcp,FIN,0.018422,1540,1644,31,29,4,4,-,627076.3,674411.0,16,18,255,255,2059253619,4213427442,96,91,0,0,72.89591,2.140869,1.204733,1.056118,0.000592,0.000465,0.000127,0,0,0.0,0,0,18,17,6,9,5,1,5,normal,0,ext,ext
1323786,udp,CON,0.001098,130,162,31,29,0,0,dns,473588.34,590163.94,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.008,0.007,0.0,0.0,0.0,0,0,0.0,0,0,2,1,1,2,1,1,1,normal,0,ext,ext
1981761,tcp,FIN,0.228784,1920,4312,31,29,6,6,-,64095.395,144520.6,22,24,255,255,3871570694,1727050003,87,180,0,0,589.18036,586.4927,10.876381,9.923521,0.000671,0.000542,0.000129,0,0,0.0,0,0,2,3,4,2,1,1,2,normal,0,ext,ext
192475,tcp,FIN,0.313341,1920,4312,31,29,6,6,-,46798.855,105520.83,22,24,255,255,2803981185,2804314176,87,180,0,0,986.26984,946.50916,14.905096,13.597261,0.00075,0.000594,0.000156,0,0,0.0,0,0,9,6,2,2,1,1,1,normal,0,ext,ext
1246458,udp,CON,0.002428,146,178,31,29,0,0,dns,240527.17,293245.47,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0,0,0.0,0,0,4,1,3,6,2,1,1,normal,0,ext,ext
1917288,udp,CON,0.00102,146,178,31,29,0,0,dns,572549.06,698039.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.004,0.0,0.0,0.0,0,0,0.0,0,0,3,3,4,1,1,1,1,normal,0,ext,ext
158285,tcp,FIN,0.007385,2054,2478,31,29,6,6,-,2124306.0,2572782.8,22,24,255,255,235081517,235438100,93,103,0,0,21.482868,17.45,0.333524,0.291261,0.000806,0.000679,0.000127,0,0,0.0,0,0,13,8,1,3,1,1,1,normal,0,ext,ext
1324915,tcp,FIN,0.024927,3302,37162,31,29,7,21,-,1040157.25,11713885.0,54,56,255,255,4187364784,4187769620,61,664,0,0,29.106594,28.338497,0.464038,0.448019,0.000904,0.000726,0.000178,0,0,0.0,0,0,2,1,1,2,1,1,1,normal,0,ext,ext
45573,tcp,FIN,0.364278,37210,3172,31,29,18,8,smtp,801475.8,67838.305,52,38,255,255,2061768705,4208605192,716,83,0,0,922.54614,33.0255,7.135804,9.831865,0.00062,0.000495,0.000125,0,0,0.0,0,0,2,1,3,1,1,1,1,normal,0,ext,ext
1649042,tcp,FIN,0.01173,2542,21294,31,29,7,14,-,1690707.5,14176982.0,40,42,255,255,1523298495,1529044052,64,507,0,0,17.134335,16.606138,0.292769,0.273122,0.000641,0.000529,0.000112,0,0,0.0,0,0,7,3,4,2,1,1,1,normal,0,ext,ext
675192,tcp,FIN,0.330152,13142,548216,31,29,21,197,-,317066.06,13253653.0,228,438,255,255,528172499,531681179,58,1252,0,0,90.125626,48.103806,1.452947,0.753906,0.000845,0.000691,0.000154,0,0,0.0,0,0,5,13,4,5,2,1,2,normal,0,ext,ext
1944467,tcp,FIN,0.914782,7818,15428,31,29,30,32,-,67810.695,133854.84,122,126,255,255,1814484468,1815453616,64,122,0,0,499.56522,490.18076,7.620383,7.312288,0.000894,0.000743,0.000151,0,0,0.0,0,0,9,4,4,6,1,1,1,normal,0,ext,ext
1234578,udp,CON,0.002001,520,304,31,29,0,0,-,1559220.2,911544.2,4,4,0,0,0,0,130,76,0,0,0.761082,0.287792,0.541667,0.205,0.0,0.0,0.0,0,0,0.0,0,0,5,3,6,4,1,1,4,normal,0,ext,ext
965669,udp,CON,0.001726,520,304,31,29,0,0,-,1807647.8,1056778.6,4,4,0,0,0,0,130,76,0,0,0.631683,0.288277,0.452667,0.209333,0.0,0.0,0.0,0,0,0.0,0,0,8,12,8,3,1,1,3,normal,0,ext,ext
1177993,udp,CON,0.001004,130,162,31,29,0,0,dns,517928.3,645418.4,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,0,3,2,2,3,1,1,2,normal,0,ext,ext
1885201,tcp,FIN,1.736915,7816,15962,31,29,30,32,-,35704.684,72938.516,122,126,255,255,279865516,304824166,64,127,0,0,859.3416,849.8809,14.471442,14.116959,0.000652,0.000526,0.000126,0,0,0.0,0,0,6,2,1,3,1,1,2,normal,0,ext,ext
1389579,tcp,FIN,0.006761,4908,2344,31,29,9,6,-,5637036.0,2658778.2,34,24,255,255,569242219,569538362,144,98,0,0,13.3892,0.365522,0.204879,0.264522,0.00066,0.000546,0.000114,0,0,0.0,0,0,3,3,4,3,1,1,2,normal,0,ext,ext
1174424,tcp,FIN,0.026132,2750,27602,31,29,7,16,-,822899.1,8266340.0,44,46,255,255,4139450673,2000904644,63,600,0,0,46.010735,47.57984,0.59607,0.582705,0.000905,0.00049,0.000415,0,0,0.0,0,0,9,3,2,2,1,1,1,normal,0,ext,ext
1601082,udp,CON,0.001095,146,178,31,29,0,0,dns,533333.4,650228.3,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0,0,1,1,2,1,1,1,2,normal,0,ext,ext
1197959,tcp,FIN,1.252839,1684,10168,31,29,3,5,http,9986.918,61326.316,14,18,255,255,2974539527,3003213973,120,565,1,3924,9523.186,8347.315,96.34323,73.6667,0.000642,0.000498,0.000144,0,0,1.0,0,0,1,2,5,2,1,1,2,normal,0,ext,ext
1881906,tcp,FIN,0.019206,1540,1644,31,29,4,4,-,601478.7,646881.2,16,18,255,255,4251511199,2108105021,96,91,0,0,78.27827,2.157679,1.2588,1.103412,0.000558,0.000445,0.000113,0,0,0.0,0,0,10,5,3,5,2,1,3,normal,0,ext,ext
1538119,tcp,FIN,1.488258,1140,828,254,252,3,2,-,5617.3057,4010.0574,12,10,255,255,3842826294,360976363,95,83,0,0,7556.41,237.75653,131.47955,152.98611,0.18573074,0.098008,0.08856695,0,1,0.0,0,0,2,2,1,1,1,1,2,Fuzzers,1,ext,ext
1485536,tcp,FIN,0.007227,3728,5474,31,29,7,7,ssh,3998339.8,5807112.5,32,24,255,255,1021610772,1021892084,117,228,0,0,15.339512,0.439589,0.233129,0.283957,0.000716,0.000573,0.000143,0,0,0.0,0,0,1,1,4,2,1,1,1,normal,0,ext,ext
430906,tcp,FIN,0.26713,4908,2344,31,29,9,6,-,142672.11,67293.08,34,24,255,255,1556591202,1556898711,144,98,0,0,780.067,27.072426,8.094849,11.582174,0.000761,0.000599,0.000162,0,0,0.0,0,0,18,5,5,3,3,3,3,normal,0,ext,ext
1827303,tcp,FIN,0.005699,4048,2456,31,29,7,7,-,5367959.5,3256711.8,18,18,255,255,2495704017,2502978604,225,136,0,0,17.142267,0.32858,0.316118,0.248412,0.001592,0.001473,0.000119,0,0,0.0,0,0,3,3,5,3,1,1,3,normal,0,ext,ext
979890,udp,CON,0.001108,146,178,31,29,0,0,dns,527075.8,642599.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.012,0.008,0.0,0.0,0.0,0,0,0.0,0,0,5,1,1,6,1,1,1,normal,0,ext,ext
922205,tcp,FIN,0.222348,4550,72346,31,29,7,33,-,161620.52,2570457.0,78,80,255,255,3740239713,3816553028,58,904,0,0,155.63641,154.46167,2.883273,2.807975,0.000638,0.000514,0.000124,0,0,0.0,0,0,6,9,3,4,1,1,1,normal,0,ext,ext
781336,tcp,FIN,0.015115,2542,23354,31,29,7,14,-,1312074.1,12066424.0,40,42,255,255,405111131,2550857647,64,556,0,0,22.406582,21.439823,0.376051,0.351585,0.000824,0.000689,0.000135,0,0,0.0,0,0,11,7,1,4,1,1,1,normal,0,ext,ext
656723,tcp,FIN,0.013924,2230,14370,31,29,7,11,-,1243895.5,8027004.0,34,36,255,255,1714318122,3878039959,66,399,0,0,26.41898,24.75387,0.412242,0.394206,0.000662,0.000516,0.000146,0,0,0.0,0,0,13,13,4,4,1,1,1,normal,0,ext,ext
1552908,tcp,FIN,7.248132,24240,29348,31,29,54,67,ssh,26637.482,32254.379,228,234,255,255,3210971244,1061722943,106,125,0,0,2203.509,2173.3474,32.21392,31.088266,0.0008,0.000673,0.000127,0,0,0.0,0,0,1,1,2,1,1,1,1,normal,0,ext,ext
764382,udp,CON,0.001054,146,178,31,29,0,0,dns,554079.7,675521.8,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.008,0.003,0.0,0.0,0.0,0,0,0.0,0,0,2,3,1,2,1,1,1,normal,0,ext,ext
1309649,tcp,FIN,0.009273,1920,4312,31,29,6,6,-,1581365.2,3565620.5,22,24,255,255,2189519962,2189818445,87,180,0,0,33.74328,25.190294,0.425571,0.375783,0.000755,0.000616,0.000139,0,0,0.0,0,0,4,2,2,6,1,1,1,normal,0,ext,ext
1518611,tcp,FIN,0.641797,424,8824,31,29,1,4,ftp-data,4624.515,100829.39,8,12,255,255,2535338383,3235488558,53,735,0,0,7651.133,4329.643,91.63371,58.303547,0.000569,0.000455,0.000114,0,0,0.0,0,0,2,3,2,3,1,1,3,normal,0,ext,ext
432800,udp,CON,0.001091,146,178,31,29,0,0,dns,535288.7,652612.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,2,2,3,1,1,1,normal,0,ext,ext
1448542,tcp,FIN,2.060351,344,258,254,60,1,1,-,1168.7329,834.80927,8,6,255,255,3073902019,1996662873,43,43,0,0,11714.749,508.0601,206.36581,166.2804,0.18573074,0.062889,0.08856695,0,0,0.0,0,0,1,1,1,1,1,1,1,normal,0,ext,ext
224785,tcp,FIN,0.006419,2048,2410,31,29,6,7,-,2446487.0,2888923.5,24,26,255,255,2103261273,4248930456,85,93,0,0,17.620314,15.181362,0.262783,0.23384,0.000711,0.000562,0.000149,0,0,0.0,0,0,11,6,4,2,1,1,1,normal,0,ext,ext
990418,tcp,FIN,0.01884,1540,1644,31,29,4,4,-,613163.5,659448.0,16,18,255,255,1376131565,1381701702,96,91,0,0,75.66959,2.046409,1.235133,1.080882,0.000587,0.000461,0.000126,0,0,0.0,0,0,12,6,6,16,12,1,6,normal,0,ext,ext
522587,tcp,FIN,1.023954,7822,14894,31,29,30,32,-,60612.098,115442.68,122,126,255,255,2619981774,473154308,64,118,0,0,490.5878,483.93692,8.459033,8.187856,0.000595,0.000469,0.000126,0,0,0.0,0,0,8,8,1,3,1,1,1,normal,0,ext,ext
700716,tcp,FIN,0.005935,1920,4312,31,29,6,6,-,2470766.8,5571019.5,22,24,255,255,661015379,2806705882,87,180,0,0,16.454262,13.14926,0.26519,0.230304,0.000792,0.000628,0.000164,0,0,0.0,0,0,7,14,8,11,1,1,7,normal,0,ext,ext
1370613,tcp,FIN,0.064873,3598,45608,31,29,7,24,-,436421.9,5533642.5,60,62,255,255,3633549485,3647027023,60,736,0,0,70.31675,69.387535,1.113172,1.091186,0.000608,0.000492,0.000116,0,0,0.0,0,0,9,9,2,5,1,1,1,normal,0,ext,ext
103984,udp,INT,1e-05,264,0,60,0,0,0,dns,105600000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0,0,0.0,0,0,5,5,3,3,3,3,3,normal,0,ext,ext
1304912,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0,0,37,37,19,20,19,19,37,Generic,1,ext,ext
1303576,udp,CON,0.006548,568,304,31,29,0,0,-,520464.25,278558.34,4,4,0,0,0,0,142,76,0,0,2.653536,1.986264,1.881333,1.409,0.0,0.0,0.0,0,0,0.0,0,0,13,5,4,6,1,1,5,normal,0,ext,ext
2009719,tcp,FIN,10.809476,18890,1087890,31,29,2,370,http,11645.889,671681.6,354,746,255,255,2628222230,588870751,53,1458,1,524288,2265.5874,1529.8301,36.655903,17.368288,0.000615,0.000467,0.000148,0,0,1.0,0,0,1,1,1,2,1,1,2,normal,0,ext,ext
494879,tcp,FIN,0.077045,3390,42634,31,29,7,22,-,345771.94,4350600.0,56,58,255,255,2346869173,2347229588,61,735,0,0,82.43381,80.15602,1.393855,1.339035,0.000863,0.000709,0.000154,0,0,0.0,0,0,3,6,3,3,1,1,1,normal,0,ext,ext
627837,tcp,FIN,0.170895,1540,1644,31,29,4,4,-,67597.06,72699.61,16,18,255,255,2079212425,4260282181,96,91,0,0,759.13586,24.64395,11.3718,10.022529,0.000632,0.000511,0.000121,0,0,0.0,0,0,13,5,2,5,4,1,2,normal,0,ext,ext
1210421,udp,CON,0.000989,132,164,31,29,0,0,dns,533872.6,663296.3,2,2,0,0,0,0,66,82,0,0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,0,0,0.0,0,0,3,4,2,8,1,1,3,normal,0,ext,ext
926156,tcp,FIN,0.141578,2158,1918,31,29,6,5,-,116910.81,103010.35,24,20,255,255,694023325,2839701140,90,96,0,0,409.668,457.0607,6.155565,7.415947,0.000671,0.000534,0.000137,0,0,0.0,0,0,4,6,1,4,1,1,1,normal,0,ext,ext
999627,udp,CON,0.001933,520,304,31,29,0,0,-,1614071.4,943610.94,4,4,0,0,0,0,130,76,0,0,0.705221,0.333524,0.501667,0.241333,0.0,0.0,0.0,0,0,0.0,0,0,20,8,3,4,1,1,3,normal,0,ext,ext
1793899,tcp,FIN,0.14178,2558,22878,31,29,7,14,-,140781.48,1260205.9,40,42,255,255,3761755912,3813155406,64,545,0,0,0.0,316.67825,3.627538,3.44339,0.000739,0.000598,0.000141,0,0,0.0,0,0,2,2,3,3,1,1,2,normal,0,ext,ext
988010,udp,CON,0.001931,536,304,31,29,0,0,-,1665458.2,944588.25,4,4,0,0,0,0,134,76,0,0,0.633803,0.381133,0.453667,0.276,0.0,0.0,0.0,0,0,0.0,0,0,9,12,5,7,1,1,4,normal,0,ext,ext
982114,tcp,FIN,0.009089,1056,824,31,29,2,2,http,813290.8,653097.2,8,10,255,255,2585368027,443238311,132,82,1,83,65.776764,1.503762,1.134286,0.955,0.00061,0.000488,0.000122,0,0,1.0,0,0,1,2,3,12,1,1,1,normal,0,ext,ext
910307,udp,CON,0.00109,146,178,31,29,0,0,dns,535779.8,653211.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0,0,6,1,1,4,2,1,1,normal,0,ext,ext
1915747,tcp,FIN,0.004199,1470,1728,31,29,5,4,-,2674922.5,3057870.8,22,14,255,255,1236599816,3382295697,67,123,0,0,12.336478,0.357148,0.199952,0.268923,0.000706,0.000579,0.000127,0,0,0.0,0,0,4,4,5,6,1,1,6,normal,0,ext,ext
207420,tcp,FIN,0.345123,2158,1918,31,29,6,5,-,47959.715,42257.4,24,20,255,255,3952468608,1807448723,90,96,0,0,946.8091,1040.4167,15.005348,18.121683,0.000809,0.000674,0.000135,0,0,0.0,0,0,7,7,2,1,1,1,1,normal,0,ext,ext
1352742,tcp,FIN,0.039903,2958,31788,31,29,7,18,-,580808.44,6245746.0,48,50,255,255,84768236,2244241320,62,636,0,0,0.0,56.550125,0.857848,0.804429,0.00061,0.000482,0.000128,0,0,0.0,0,0,4,2,1,5,1,1,1,normal,0,ext,ext
517566,tcp,FIN,0.01234,2334,13586,31,29,7,11,-,1471637.0,8563371.0,36,36,255,255,3353901267,1218127869,65,377,0,0,0.0,0.596728,0.344029,0.336571,0.000736,0.000556,0.00018,0,0,0.0,0,0,6,16,4,5,1,1,1,normal,0,ext,ext
1830349,udp,CON,0.001073,146,178,31,29,0,0,dns,544268.4,663560.1,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,0,1,1,1,1,1,1,2,normal,0,ext,ext
120538,tcp,FIN,0.704245,774,13418,62,252,2,6,-,7917.699,143961.27,10,18,255,255,1521670668,1119293572,77,745,0,0,4498.5923,3610.1638,78.24944,37.733414,0.134125,0.06177,0.072355,0,1,0.0,0,0,1,1,1,1,1,1,1,Exploits,1,ext,ext
1726847,tcp,FIN,0.006204,2054,2478,31,29,6,6,-,2528691.0,3062540.2,22,24,255,255,1317293245,3467179144,93,103,0,0,18.243172,15.509211,0.278619,0.256727,0.000662,0.000549,0.000113,0,0,0.0,0,0,4,6,4,3,1,1,1,normal,0,ext,ext
1654274,tcp,FIN,0.507785,37508,3276,31,29,18,8,smtp,579568.1,50336.26,52,40,255,255,3098698126,3150766477,721,82,0,0,904.0929,30.334118,9.949235,13.005359,0.000735,0.000573,0.000162,0,0,0.0,0,0,1,1,3,5,1,1,1,normal,0,ext,ext
653432,tcp,FIN,1.617837,7818,14990,31,29,30,32,-,38342.555,73540.164,122,126,255,255,3853174820,1741213386,64,119,0,0,915.33887,899.7815,13.36767,12.938408,0.000658,0.000533,0.000125,0,0,0.0,0,0,6,8,3,1,1,1,1,normal,0,ext,ext
277061,tcp,FIN,0.021348,2750,26406,31,29,7,16,-,1007307.5,9680345.0,44,46,255,255,1669608382,1669844192,63,574,0,0,32.866207,31.258614,0.488256,0.463356,0.000631,0.000492,0.000139,0,0,0.0,0,0,11,8,3,7,1,1,1,normal,0,ext,ext
1942454,udp,CON,0.00103,146,178,31,29,0,0,dns,566990.25,691262.1,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.008,0.007,0.0,0.0,0.0,0,0,0.0,0,0,5,3,4,1,1,1,4,normal,0,ext,ext
1456742,tcp,FIN,1.165001,1684,10168,31,29,3,5,http,10739.904,65950.16,14,18,255,255,999220549,1034399765,120,565,1,3924,8838.724,7742.524,89.589386,68.497,0.000672,0.000548,0.000124,0,0,1.0,0,0,1,1,2,3,1,1,1,normal,0,ext,ext
